title,year_range,genre,rating,one-line,votes,runtime,gross,start_year,end_year,director,actors,genre_action,genre_adventure,genre_animation,genre_biography,genre_comedy,genre_crime,genre_documentary,genre_drama,genre_family,genre_fantasy,genre_film-noir,genre_game-show,genre_history,genre_horror,genre_music,genre_musical,genre_mystery,genre_news,genre_reality-tv,genre_romance,genre_sci-fi,genre_short,genre_sport,genre_talk-show,genre_thriller,genre_war,genre_western
Blood Red Sky,2021,"action,horror,thriller",6.1,"
A woman with a mysterious illness is forced into action when a group of terrorists attempt to hijack a transatlantic overnight flight.","21,062",121.0,,2021,,Peter Thorwarth,"Peri Baumeister, 
Carl Anton Koch, 
Alexander Scheer, 
Kais Setti",1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0
Masters of the Universe: Revelation,2021– ,"animation,action,adventure",5.0,"
The war for Eternia begins again in what may be the final battle between He-Man and Skeletor. A new animated series from writer-director Kevin Smith.","17,870",25.0,,2021,,,"Chris Wood, 
Sarah Michelle Gellar, 
Lena Headey, 
Mark Hamill",1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
The Walking Dead,2010–2022,"drama,horror,thriller",8.2,"
Sheriff Deputy Rick Grimes wakes up from a coma to learn the world is in ruins and must lead a group of survivors to stay alive.","885,805",44.0,,2010,2022,,"Andrew Lincoln, 
Norman Reedus, 
Melissa McBride, 
Lauren Cohan",0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0
Rick and Morty,2013– ,"animation,adventure,comedy",9.2,"
An animated series that follows the exploits of a super scientist and his not-so-bright grandson.","414,849",23.0,,2013,,,"Justin Roiland, 
Chris Parnell, 
Spencer Grammer, 
Sarah Chalke",0,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Army of Thieves,2021,"action,crime,horror",,"
A prequel, set before the events of Army of the Dead, which focuses on German safecracker Ludwig Dieter leading a group of aspiring thieves on a top secret heist during the early stages of the zombie apocalypse.",,,,2021,,Matthias Schweighöfer,"Matthias Schweighöfer, 
Nathalie Emmanuel, 
Ruby O. Fee, 
Stuart Martin",1,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
Outer Banks,2020– ,"action,crime,drama",7.6,"
A group of teenagers from the wrong side of the tracks stumble upon a treasure map that unearths a long buried secret.","25,858",50.0,,2020,,,"Chase Stokes, 
Madelyn Cline, 
Madison Bailey, 
Jonathan Daviss",1,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
The Last Letter from Your Lover,2021,"drama,romance",6.8,"
A pair of interwoven stories set in the past and present follow an ambitious journalist determined to solve the mystery of a forbidden love affair at the center of a trove of secret love letters from 1965.","5,283",110.0,,2021,,Augustine Frizzell,"Shailene Woodley, 
Joe Alwyn, 
Wendy Nottingham, 
Felicity Jones",0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
Dexter,2006–2013,"crime,drama,mystery",8.6,"
By day, mild-mannered Dexter is a blood-spatter analyst for the Miami police. But at night, he is a serial killer who only targets other murderers.","665,387",53.0,,2006,2013,,"Michael C. Hall, 
Jennifer Carpenter, 
David Zayas, 
James Remar",0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
Never Have I Ever,2020– ,comedy,7.9,"
The complicated life of a modern-day first generation Indian American teenage girl, inspired by Mindy Kaling's own childhood.","34,530",30.0,,2020,,,"Maitreyi Ramakrishnan, 
Poorna Jagannathan, 
Darren Barnet, 
John McEnroe",0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Virgin River,2019– ,"drama,romance",7.4,"
Seeking a fresh start, nurse practitioner Melinda Monroe moves from Los Angeles to a remote Northern California town and is surprised by what and who she finds.","27,279",44.0,,2019,,,"Alexandra Breckenridge, 
Martin Henderson, 
Colin Lawrence, 
Tim Matheson",0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
Gunpowder Milkshake,2021,"action,adventure,thriller",6.0,"
Three generations of women fight back against those who could take everything from them.","17,989",114.0,,2021,,Navot Papushado,"Karen Gillan, 
Lena Headey, 
Carla Gugino, 
Michelle Yeoh",1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
Lucifer,2016–2021,"crime,drama,fantasy",8.1,"
Lucifer Morningstar has decided he's had enough of being the dutiful servant in Hell and decides to spend some time on Earth to better understand humanity. He settles in Los Angeles - the City of Angels.","264,222",42.0,,2016,2021,,"Tom Ellis, 
Lesley-Ann Brandt, 
Lauren German, 
D.B. Woodside",0,0,0,0,0,1,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Fear Street: 1994,2021,"drama,horror,mystery",6.2,"
A circle of teenage friends accidentally encounter the ancient evil responsible for a series of brutal murders that have plagued their town for over 300 years. Welcome to Shadyside.","50,148",107.0,,2021,,Leigh Janiak,"Kiana Madeira, 
Olivia Scott Welch, 
Benjamin Flores Jr., 
Julia Rehwald",0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0
Sex/Life,2021– ,"comedy,drama,romance",5.4,"
A suburban mother of two takes a fantasy-charged trip down memory lane that sets her very married present on a collision course with her wild-child past.","12,172",,,2021,,,"Sarah Shahi, 
Mike Vogel, 
Adam Demos, 
Margaret Odette",0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
American Horror Story,2011– ,"drama,horror,thriller",8.0,"
An anthology series centering on different characters and locations, including a house with a murderous past, an insane asylum, a witch coven, a freak show circus, a haunted hotel, a possessed farmhouse, a cult, the apocalypse, and a slasher summer camp.","286,488",60.0,,2011,,,"Lady Gaga, 
Kathy Bates, 
Angela Bassett, 
Sarah Paulson",0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0
Grey's Anatomy,2005– ,"drama,romance",7.5,"
A drama centered on the personal and professional lives of five surgical interns and their supervisors.","266,258",41.0,,2005,,,"Ellen Pompeo, 
Chandra Wilson, 
James Pickens Jr., 
Justin Chambers",0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
Breaking Bad,2008–2013,"crime,drama,thriller",9.4,"
A high school chemistry teacher diagnosed with inoperable lung cancer turns to manufacturing and selling methamphetamine in order to secure his family's future.","1,552,311",49.0,,2008,2013,,"Bryan Cranston, 
Aaron Paul, 
Anna Gunn, 
Betsy Brandt",0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
The Good Doctor,2017– ,drama,8.1,"
Shaun Murphy, a young surgeon with autism and Savant syndrome, is recruited into the surgical unit of a prestigious hospital.","70,871",41.0,,2017,,,"Freddie Highmore, 
Hill Harper, 
Richard Schiff, 
Antonia Thomas",0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Atypical,2017–2021,"comedy,drama",8.3,"
Sam, an 18-year-old on the autism spectrum, decides it's time to find a girlfriend, a journey that sets Sam's mom on her own life-changing path as her son seeks more independence.","71,544",30.0,,2017,2021,,"Jennifer Jason Leigh, 
Keir Gilchrist, 
Brigette Lundy-Paine, 
Michael Rapaport",0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Stranger Things,2016– ,"drama,fantasy,horror",8.7,"
When a young boy disappears, his mother, a police chief and his friends must confront terrifying supernatural forces in order to get him back.","885,856",51.0,,2016,,,"Millie Bobby Brown, 
Finn Wolfhard, 
Winona Ryder, 
David Harbour",0,0,0,0,0,0,0,1,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
Fear Street: 1978,2021,"drama,horror,mystery",6.8,"
Shadyside, 1978. School's out for summer and the activities at Camp Nightwing are about to begin. But when another Shadysider is possessed with the urge to kill, the fun in the sun becomes a gruesome fight for survival.","36,634",109.0,,2021,,Leigh Janiak,"Sadie Sink, 
Emily Rudd, 
Ryan Simpkins, 
McCabe Slye",0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0
Friends,1994–2004,"comedy,romance",8.9,"
Follows the personal and professional lives of six twenty to thirty-something-year-old friends living in Manhattan.","880,918",22.0,,1994,2004,,"Jennifer Aniston, 
Courteney Cox, 
Lisa Kudrow, 
Matt LeBlanc",0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
The Flash,2014– ,"action,adventure,drama",7.6,"
After being struck by lightning, Barry Allen wakes up from his coma to discover he's been given the power of super speed, becoming the next Flash, fighting crime in Central City.","320,264",43.0,,2014,,,"Grant Gustin, 
Candice Patton, 
Danielle Panabaker, 
Carlos Valdes",1,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Peaky Blinders,2013– ,"crime,drama",8.8,"
A gangster family epic set in 1900s England, centering on a gang who sew razor blades in the peaks of their caps, and their fierce boss Tommy Shelby.","393,414",60.0,,2013,,,"Cillian Murphy, 
Paul Anderson, 
Helen McCrory, 
Sophie Rundle",0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
He-Man and the Masters of the Universe,2021– ,"animation,action,adventure",,"
Eternia's Prince Adam discovers the power of Grayskull and transforms into He-Man, Master of the Universe. A reimagining of the classic animated series.",,,,2021,,,,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Chernobyl,2021,"drama,history,romance",5.0,"
A story about a heroic fireman who worked as one of Chernobyl liquidators.","4,681",136.0,,2021,,Danila Kozlovskiy,"Danila Kozlovskiy, 
Oksana Akinshina, 
Filipp Avdeev, 
Ravshana Kurkova",0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0
Vikings,2013–2020,"action,adventure,drama",8.5,"
Vikings transports us to the brutal and mysterious world of Ragnar Lothbrok, a Viking warrior and farmer who yearns to explore - and raid - the distant shores across the ocean.","459,913",44.0,,2013,2020,,"Katheryn Winnick, 
Gustaf Skarsgård, 
Alexander Ludwig, 
Georgia Hirst",1,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Better Call Saul,2015– ,"crime,drama",8.8,"
The trials and tribulations of criminal lawyer Jimmy McGill in the time before he established his strip-mall law office in Albuquerque, New Mexico.","347,857",46.0,,2015,,,"Bob Odenkirk, 
Rhea Seehorn, 
Jonathan Banks, 
Patrick Fabian",0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Supernatural,2005–2020,"drama,fantasy,horror",8.4,"
Two brothers follow their father's footsteps as hunters, fighting evil supernatural beings of many kinds, including monsters, demons and gods that roam the earth.","404,273",44.0,,2005,2020,,"Jared Padalecki, 
Jensen Ackles, 
Jim Beaver, 
Misha Collins",0,0,0,0,0,0,0,1,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
The Blacklist,2013– ,"crime,drama,mystery",8.0,"
A new FBI profiler, Elizabeth Keen, has her entire life uprooted when a mysterious criminal, Raymond Reddington, who has eluded capture for decades, turns himself in and insists on speaking only to her.","213,522",43.0,,2013,,,"James Spader, 
Megan Boone, 
Diego Klattenhoff, 
Ryan Eggold",0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
Fear Street: 1666,2021,"horror,mystery",6.7,"
The origins of Sarah Fier's curse are finally revealed as history comes full circle on a night that changes the lives of Shadysiders forever.","27,447",114.0,,2021,,Leigh Janiak,"Kiana Madeira, 
Ashley Zukerman, 
Gillian Jacobs, 
Olivia Scott Welch",0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0
Animal Kingdom,2016– ,"crime,drama",8.2,"
Centers on a Southern California family, whose excessive lifestyle is fueled by their criminal activities.","26,926",60.0,,2016,,,"Shawn Hatosy, 
Ben Robson, 
Jake Weary, 
Finn Cole",0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Brooklyn Nine-Nine,2013–2022,"comedy,crime",8.4,"
Comedy series following the exploits of Det. Jake Peralta and his diverse, lovable colleagues as they police the NYPD's 99th Precinct.","248,583",22.0,,2013,2022,,"Andy Samberg, 
Stephanie Beatriz, 
Terry Crews, 
Melissa Fumero",0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
NCIS: Naval Criminal Investigative Service,2003– ,"action,crime,drama",7.7,"
The cases of the Naval Criminal Investigative Service's Washington, D.C. Major Case Response Team, led by Special Agent Leroy Jethro Gibbs.","125,619",60.0,,2003,,,"Mark Harmon, 
David McCallum, 
Sean Murray, 
Pauley Perrette",1,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Kingdom,2019– ,"action,drama,history",8.4,"
While strange rumors about their ill King grip a kingdom, the crown prince becomes their only hope against a mysterious plague overtaking the land.","34,906",45.0,,2019,,,"Ju Ji-Hoon, 
Bae Doona, 
Kim Sungkyu, 
Hye-jun Kim",1,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Modern Family,2009–2020,"comedy,drama,romance",8.4,"
Three different but related families face trials and tribulations in their own uniquely comedic ways.","378,030",22.0,,2009,2020,,"Ed O'Neill, 
Sofía Vergara, 
Julie Bowen, 
Ty Burrell",0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
Titans, 2018– ,"action,adventure,crime",7.7,"
A team of young superheroes combat evil and other perils.","73,656",45.0,, 2018,,,"Brenton Thwaites, 
Teagan Croft, 
Anna Diop, 
Ryan Potter",1,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
The Witcher,2019– ,"action,adventure,fantasy",8.2,"
Geralt of Rivia, a solitary monster hunter, struggles to find his place in a world where people often prove more wicked than beasts.","336,484",60.0,,2019,,,"Henry Cavill, 
Anna Shaffer, 
Freya Allan, 
Adjoa Andoh",1,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Downton Abbey,2010–2015,"drama,romance",8.7,"
A chronicle of the lives of the British aristocratic Crawley family and their servants in the early twentieth century.","171,804",58.0,,2010,2015,,"Hugh Bonneville, 
Phyllis Logan, 
Elizabeth McGovern, 
Brendan Coyle",0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
Shingeki no kyojin,2013–2022,"animation,action,adventure",9.0,"
After his hometown is destroyed and his mother is killed, young Eren Jaeger vows to cleanse the earth of the giant humanoid Titans that have brought humanity to the brink of extinction.","242,582",24.0,,2013,2022,,"Yûki Kaji, 
Marina Inoue, 
Josh Grelle, 
Yui Ishikawa",1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Suits,2011–2019,"comedy,drama",8.4,"
On the run from a drug deal gone bad, brilliant college dropout Mike Ross finds himself working with Harvey Specter, one of New York City's best lawyers.","374,263",44.0,,2011,2019,,"Gabriel Macht, 
Patrick J. Adams, 
Meghan Markle, 
Sarah Rafferty",0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
La casa de papel,2017–2021,"action,crime,mystery",8.3,"
An unusual group of robbers attempt to carry out the most perfect robbery in Spanish history - stealing 2.4 billion euros from the Royal Mint of Spain.","341,858",70.0,,2017,2021,,"Úrsula Corberó, 
Álvaro Morte, 
Itziar Ituño, 
Pedro Alonso",1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
Schitt's Creek,2015–2020,comedy,8.5,"
When rich video-store magnate Johnny Rose and his family suddenly find themselves broke, they are forced to leave their pampered lives to regroup in Schitt's Creek.","90,728",22.0,,2015,2020,,"Eugene Levy, 
Catherine O'Hara, 
Dan Levy, 
Annie Murphy",0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Outlander,2014– ,"drama,fantasy,romance",8.4,"
An English combat nurse from 1945 is mysteriously swept back in time to 1743.","134,991",64.0,,2014,,,"Caitriona Balfe, 
Sam Heughan, 
Duncan Lacroix, 
Sophie Skelton",0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
The Last Kingdom,2015– ,"action,drama,history",8.4,"
As Alfred the Great defends his kingdom from Norse invaders, Uhtred - born a Saxon but raised by Vikings - seeks to claim his ancestral birthright.","94,650",60.0,,2015,,,"Alexander Dreymon, 
Eliza Butterworth, 
Arnas Fedaravicius, 
Millie Brady",1,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Black Mirror,2011– ,"drama,sci-fi,thriller",8.8,"
An anthology series exploring a twisted, high-tech multiverse where humanity's greatest innovations and darkest instincts collide.","469,407",60.0,,2011,,,"Daniel Lapaine, 
Hannah John-Kamen, 
Michaela Coel, 
Beatrice Robertson-Jones",0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0
Ozark,2017– ,"crime,drama,thriller",8.4,"
A financial advisor drags his family from Chicago to the Missouri Ozarks, where he must launder money to appease a drug boss.","206,090",60.0,,2017,,,"Jason Bateman, 
Laura Linney, 
Sofia Hublitz, 
Skylar Gaertner",0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
The Crown,2016– ,"biography,drama,history",8.6,"
Follows the political rivalries and romance of Queen Elizabeth II's reign and the events that shaped the second half of the twentieth century.","169,517",58.0,,2016,,,"Claire Foy, 
Olivia Colman, 
Imelda Staunton, 
Matt Smith",0,0,0,1,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Sweet Tooth,2021– ,"action,adventure,drama",7.9,"
A boy who is half human and half deer survives in a post-apocalyptic world with other hybrids.","37,142",,,2021,,,"Nonso Anozie, 
Christian Convery, 
Adeel Akhtar, 
Stefania LaVie Owen",1,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Army of the Dead,2021,"action,crime,horror",5.8,"
Following a zombie outbreak in Las Vegas, a group of mercenaries take the ultimate gamble, venturing into the quarantine zone to pull off the greatest heist ever attempted.","132,378",148.0,,2021,,Zack Snyder,"Dave Bautista, 
Ella Purnell, 
Ana de la Reguera, 
Omari Hardwick",1,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
Fargo,2014– ,"crime,drama,thriller",8.9,"
Various chronicles of deception, intrigue and murder in and around frozen Minnesota. Yet all of these tales mysteriously lead back one way or another to Fargo, North Dakota.","341,221",53.0,,2014,,,"Billy Bob Thornton, 
Martin Freeman, 
Allison Tolman, 
Colin Hanks",0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
How I Met Your Mother,2005–2014,"comedy,romance",8.3,"
A father recounts to his children - through a series of flashbacks - the journey he and his four best friends took leading up to him meeting their mother.","624,036",22.0,,2005,2014,,"Josh Radnor, 
Jason Segel, 
Cobie Smulders, 
Neil Patrick Harris",0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
Community,2009–2015,comedy,8.5,"
A suspended lawyer is forced to enroll in a community college with an eccentric staff and student body.","231,013",22.0,,2009,2015,,"Joel McHale, 
Danny Pudi, 
Donald Glover, 
Chevy Chase",0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Sons of Anarchy,2008–2014,"crime,drama,thriller",8.5,"
A biker struggles to balance being a father and being involved in an outlaw motorcycle club.","270,445",45.0,,2008,2014,,"Charlie Hunnam, 
Katey Sagal, 
Mark Boone Junior, 
Kim Coates",0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
StartUp,2016–2018,"crime,thriller",7.9,"
A desperate banker, a Haitian-American gang lord and a Cuban-American hacker are forced to work together to unwittingly create their version of the American dream - organized crime 2.0.","22,971",44.0,,2016,2018,,"Adam Brody, 
Edi Gathegi, 
Otmara Marrero, 
Kristen Ariza",0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
The Vampire Diaries,2009–2017,"drama,fantasy,horror",7.7,"
The lives, loves, dangers and disasters in the town, Mystic Falls, Virginia. Creatures of unspeakable horror lurk beneath this town as a teenage girl is suddenly torn between two vampire brothers.","293,434",43.0,,2009,2017,,"Nina Dobrev, 
Paul Wesley, 
Ian Somerhalder, 
Kat Graham",0,0,0,0,0,0,0,1,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
365 dni,2020,"drama,romance",3.3,"
Massimo is a member of the Sicilian Mafia family and Laura is a sales director. She does not expect that on a trip to Sicily trying to save her relationship, Massimo will kidnap her and give her 365 days to fall in love with him.","63,620",114.0,,2020,,,"Anna Maria Sieklucka, 
Michele Morrone, 
Bronislaw Wroclawski, 
Otar Saralidze",0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
How to Sell Drugs Online (Fast),2019– ,"comedy,crime,drama",7.9,"
To win back the love of his life, a high school student and his best friend launch Europe's largest online drug business from their teenage bedroom.","23,960",30.0,,2019,,,"Maximilian Mundt, 
Danilo Kamperidis, 
Lena Klenke, 
Damian Hardung",0,0,0,0,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Good Girls,2018–2021,"comedy,crime,drama",7.8,"
Three suburban mothers suddenly find themselves in desperate circumstances and decide to stop playing it safe and risk everything to take their power back.","38,618",43.0,,2018,2021,,"Christina Hendricks, 
Retta, 
Mae Whitman, 
Reno Wilson",0,0,0,0,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
13 Reasons Why,2017–2020,"drama,mystery,thriller",7.6,"
Follows teenager Clay Jensen, in his quest to uncover the story behind his classmate and crush, Hannah, and her decision to end her life.","266,386",60.0,,2017,2020,,"Dylan Minnette, 
Katherine Langford, 
Christian Navarro, 
Alisha Boe",0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0
The Queen's Gambit,2020,drama,8.6,"
Orphaned at the tender age of nine, prodigious introvert Beth Harmon discovers and masters the game of chess in 1960s USA. But child stardom comes at a price.","336,801",395.0,,2020,,,"Anya Taylor-Joy, 
Chloe Pirrie, 
Bill Camp, 
Marcin Dorocinski",0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Legends of Tomorrow,2016– ,"action,adventure,drama",6.8,"
Time-travelling rogue Rip Hunter has to recruit a rag-tag team of heroes and villains to help prevent an apocalypse that could impact not only Earth, but all of time.","95,897",42.0,,2016,,,"Caity Lotz, 
Amy Louise Pemberton, 
Dominic Purcell, 
Nick Zano",1,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Star Trek: The Next Generation,1987–1994,"action,adventure,mystery",8.6,"
Set almost 100 years after Captain Kirk's five-year mission, a new generation of Starfleet officers set off in the U.S.S. Enterprise-D on their own mission to go where no one has gone before.","106,181",44.0,,1987,1994,,"Patrick Stewart, 
Brent Spiner, 
Jonathan Frakes, 
LeVar Burton",1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
Le dernier mercenaire,2021,"action,comedy",5.4,"
A mysterious former secret service agent must urgently return to France when his estranged son is falsely accused of arms and drug trafficking by the government, following a blunder by an overzealous bureaucrat and a mafia operation.","2,606",110.0,,2021,,David Charhon,"Jean-Claude Van Damme, 
Alban Ivanov, 
Samir Decazza, 
Assa Sylla",1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Resort to Love,2021,"comedy,romance",5.7,"
Erica, who ends up as the entertainment at her ex-fiancé's wedding after reluctantly taking a gig at a luxurious island resort while in the wake of a music career meltdown.","1,591",101.0,,2021,,Steven K. Tsuchida,"Christina Milian, 
Tymberlee Hill, 
Kayne Lee Harrison, 
Ruth Nadler-Nir",0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
Evil,2019– ,"crime,drama,horror",7.7,"
A skeptical female clinical psychologist joins a priest-in-training and a blue-collar contractor as they investigate supposed miracles, demonic possession, and other extraordinary occurrences to see if there's a scientific explanation or if something truly supernatural is at work.","15,048",42.0,,2019,,,"Katja Herbers, 
Mike Colter, 
Aasif Mandvi, 
Maddy Crocco",0,0,0,0,0,1,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
The Expanse,2015– ,"drama,mystery,sci-fi",8.5,"
In the 24th century, a disparate band of antiheroes unravel a vast conspiracy that threatens the Solar System's fragile state of cold war.","119,644",60.0,,2015,,,"Wes Chatham, 
Dominique Tipper, 
Steven Strait, 
Shohreh Aghdashloo",0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0
New Amsterdam,2018– ,drama,8.1,"
A new medical director breaks the rules to heal the system at America's oldest public hospital.","27,709",43.0,,2018,,,"Ryan Eggold, 
Janet Montgomery, 
Freema Agyeman, 
Jocko Sims",0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Line of Duty,2012– ,"crime,drama,mystery",8.7,"
Drama series following the investigations of AC-12, a controversial police anti-corruption unit.","46,751",60.0,,2012,,,"Martin Compston, 
Vicky McClure, 
Adrian Dunbar, 
Craig Parkinson",0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
The 100,2014–2020,"drama,mystery,sci-fi",7.6,"
Set ninety-seven years after a nuclear war has destroyed civilization, when a spaceship housing humanity's lone survivors sends one hundred juvenile delinquents back to Earth, in hopes of possibly re-populating the planet.","226,962",43.0,,2014,2020,,"Eliza Taylor, 
Bob Morley, 
Marie Avgeropoulos, 
Isaiah Washington",0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0
New Girl,2011–2018,comedy,7.7,"
After a bad break-up, Jess, an offbeat young woman, moves into an apartment loft with three single men. Although they find her behavior very unusual, the men support her - most of the time.","200,421",22.0,,2011,2018,,"Zooey Deschanel, 
Jake Johnson, 
Max Greenfield, 
Hannah Simone",0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
