title,year_range,genre,rating,one-line,votes,runtime,gross,start_year,end_year,director,actors,genre_action,genre_adventure,genre_animation,genre_biography,genre_comedy,genre_crime,genre_documentary,genre_drama,genre_family,genre_fantasy,genre_film-noir,genre_game-show,genre_history,genre_horror,genre_music,genre_musical,genre_mystery,genre_news,genre_reality-tv,genre_romance,genre_sci-fi,genre_short,genre_sport,genre_talk-show,genre_thriller,genre_war,genre_western
Akbar Birbal,2014– ,"comedy,drama,history",7.5,"
The well known folklore characters, Akbar and Birbal have been extremely popular with the kids for their combined wit and wisdom. The show is a fresh, comic take on the relation between ...                See full summary »
",125,25.0,,2014,,,"Kiku Sharda, 
Vishal Kotian, 
Delnaaz Irani, 
Sunil Chauhan",0,0,0,0,1,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Derren Brown: Infamous,2014  ,reality-tv,7.6,"
Derren Brown's sixth live stage show which toured the U.K. in 2013-2014.",244,71.0,,2014  ,,Andy Nyman,"Carl Barma, 
Derren Brown, 
Benjayx Murphy",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
Rob Schneider: Soy Sauce and the Holocaust,2013  ,comedy,5.6,"
Rob Schneider tells the side-splitting stories of the three hoods: childhood, adulthood, and parenthood. From closet farts to his sex life, Rob isn't holding back any of the dirty details.",263,60.0,,2013  ,,Ryan Polito,,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Amok, 2014,drama,5.6,"
'Amok' tells 48 hours of the live of Lorenz Fuchs, a middle aged gray accountant who believes his triste and monotonous life being meaningless and absurd. For him the outside world was ...                See full summary »
",131,84.0,, 2014,,Zoltan Paul,"Tilo Nest, 
Charly Hübner, 
Heike Hanold-Lynch, 
Andreas Lechner",0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"1994: Poder, Rebeldía y Crimen en México",2019,documentary,8.7,"
1994 looks at a convoluted period in recent Mexican history, including the assassination of Luis Donaldo Colosio, the raising of the Zapatist Liberation Army, and the end of the rule of Carlos Salinas.",17,,,2019,,,,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Go Off with Jess & Julissa,2021– ,comedy,,"
Add a Plot
",,,,2021,,,"Julissa Calderon, 
Jessica Marie Garcia, 
Alycia Pascual-Pena, 
Suzette Quintañilla",0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Untitled Will Smith Comedy Variety Special, ,comedy,,"
Will Smith presents his first comedy variety special, which includes surprise celebrity guests, comedic sketches, musical performances, conversations and more.",,60.0,, ,,,,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
The Collector, 2018,horror,,"
Add a Plot
",,,, 2018,,,"Chontida Assawahem, 
Ice Natara, 
Witawat Singlampong, 
Charlie Trairat",0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
Mech Cadets,,"animation,action,adventure",,"
Fifty years in the future, after a terrifying alien species attacked our planet, teenager Stanford Yu works as a janitor at the Sky Corps Military Academy. But he's only dreamed of one ...                See full summary »
",,,,,,,,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Vlast (Power),2010,documentary,7.0,"
The collapse of the Soviet Union led to a volatile but highly advantageous environment for young Russian businessmen eager to build the fledgling market economy by any means necessary. ...                See full summary »
",169,88.0,,2010,,Cathryn Collins,,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
